"Product Name","Product Price","Product Discount","Product Image","Product Link"
"Chocolate PU Flap Over Baguette Shoulder Bag","£18.00£13.00","(28% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/chocolate-pu-flap-over-baguette-shoulder-bag.html"
"Black Small Bum Bag","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-small-bum-bag.html"
"Recycled Gold Multi Style Hoop Pack","£8.00£4.00","(50% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-multi-style-hoop-pack.html"
"Tan Ruched Mini Grab Bag","£18.00£13.00","(28% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/tan-ruched-mini-grab-bag.html"
"Leopard PU Box Cross Body Bag","£20.00£14.00","(30% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/leopard-pu-box-cross-body-bag.html"
"White Ribbed Knee High Football Socks","£4.00£3.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-ribbed-knee-high-football-socks.html"
"Gold Rounded Edge Square Hoop Earrings","£10.00£7.00","(30% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-rounded-edge-square-hoop-earrings.html"
"White PU Lace Up Corset Belt","£12.00£9.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-pu-lace-up-corset-belt.html"
"Real Gold Plated Pisces Constellation Layered...","£15.00£6.50","(57% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/real-gold-plated-pisces-constellation-layered-necklace.html"
"Neon Lime Knot Detail Mini Cross Body","£18.00£10.00","(44% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/neon-lime-knot-detail-mini-cross-body.html"
"Black Crystal And Pearl Headband","£15.00£11.00","(27% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-crystal-and-pearl-headband.html"
"Tort With Red Lens Pointed Cat Eye Sunglasses","£8.00£6.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/tort-with-red-lens-pointed-cat-eye-sunglasses.html"
"Gold Oversized Chunky Chain Waist Belt","£15.00£13.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-oversized-chunky-chain-waist-belt.html"
"Kelsie Black Medium Net Fishnet Tights","£5.00£4.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/kelsie-black-medium-net-fishnet-tights.html"
"PRETTYLITTLETHING Nude Slanted Logo Tights","£10.00£2.75","(73% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-nude-slanted-logo-tights.html"
"Gold Double Layer Stars And Diamante Chain Anklet","£4.00£3.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-double-layer-stars-and-diamante-chain-anklet.html"
"White Long Pearl Hair Clip","£3.00£2.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-long-pearl-hair-clip.html"
"Orange Heart Print Iphone 12 Pro Max Case","£6.00£2.00","(67% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/orange-heart-print-iphone-12-pro-max-case.html"
"Recycled Gold Mini Croissant Hoop Earrings","£4.00£2.50","(38% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-mini-croissant-hoop-earrings.html"
"Black Patent Croc Round Buckle Belt","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-patent-croc-round-buckle-belt.html"
"Gold Stud Earrings Multi Pack","£5.00£4.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-stud-earrings-multi-pack.html"
"Black Croc Vintage Gold Buckle Western Belt","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-croc-vintage-gold-buckle-western-belt.html"
"Silver Crystal Floral Affect Chain Ear Climber","£8.00£6.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-crystal-floral-affect-chain-ear-climber.html"
"Gold Hammered Circle Charm Multipack Bracelets","£8.00£4.00","(50% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-hammered-circle-charm-multipack-bracelets.html"
"Silver Thin Diamante Statement Earrings","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-thin-diamante-statement-earrings.html"
"Brown Tortoiseshell Square Frame Blue Light...","£8.00£5.50","(31% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/brown-tortoiseshell-square-frame-blue-light-readers.html"
"PRETTYLITTLETHING Green Triangular Shoulder Bag","£20.00£16.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-green-triangular-shoulder-bag.html"
"Gold Recycled Heart Shaped Hoop Earrings","£5.00£2.50","(50% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-recycled-heart-shaped-hoop-earrings.html"
"Black Under Bra Corset Belt","£15.00£11.00","(27% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-under-bra-corset-belt.html"
"Black Multi Pocket Bag Belt","£18.00£13.00","(28% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-multi-pocket-bag-belt.html"
"Recycled Gold Multi Layered Chain Necklace","£8.00£2.75","(66% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-multi-layered-chain-necklace.html"
"Silver Diamante Knotted Stud Earrings Multi Pack","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-diamante-knotted-stud-earrings-multi-pack.html"
"Cream PU Shoulder Bag","£20.00£18.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/cream-pu-shoulder-bag.html"
"PRETTYLITTLETHING Black Lens Rimless Square...","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-black-lens-rimless-square-sunglasses.html"
"Gold Celestial Star Cut Out Disc Layered Necklace","£6.00£4.50","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-celestial-star-cut-out-disc-layered-necklace.html"
"Gold Chunky Chain Short Necklace","£8.00£3.75","(53% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-chunky-chain-short-necklace.html"
"Blush Slider Buckle Tape Belt","£8.00£3.75","(53% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/blush-slider-buckle-tape-belt.html"
"Silver Chunky Single Chain Belt","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-chunky-single-chain-belt.html"
"Black PU Lace Up Corset Belt","£12.00£10.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-pu-lace-up-corset-belt.html"
"70 Denier Tights","£5.00£3.50","(30% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/70-denier-tights.html"
"Recycled Real Gold Plated Bridesmaid Necklace","£10.00£4.00","(60% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-real-gold-plated-bridesmaid-necklace.html"
"Recycled Gold Oversized Chunky Choker","£8.00£5.50","(31% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-oversized-chunky-choker.html"
"Recycled Gold Chunky Multi Chain Renaissance...","£8.00£4.50","(44% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-chunky-multi-chain-renaissance-layering-necklace.html"
"Recycled Gold Mini Diamante Ribbed Cut Out Hoop...","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-mini-diamante-ribbed-cut-out-hoop-earrings.html"
"Black PU Chunky Waist Belt","£8.00£3.50","(56% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-pu-chunky-waist-belt.html"
"PRETTYLITTLETHING Black Super Chunky Arm Detail...","£12.00£5.50","(54% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-black-super-chunky-arm-detail-visor-sunglasses.html"
"PRETTYLITTLETHING Recycled Silver Script Necklace","£6.00£2.50","(58% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-recycled-silver-script-necklace.html"
"Recycled Gold Diamante And Chain Two Pack Rings","£4.50£3.00","(33% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-diamante-and-chain-two-pack-rings.html"
"Recycled Silver Multi Layered Chain Necklace","£8.00£2.75","(66% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-silver-multi-layered-chain-necklace.html"
"White PU Chain And Tassel Trim Cross Body Bag","£22.00£18.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-pu-chain-and-tassel-trim-cross-body-bag.html"
"Black Triple Lace Up Corset Belt","£18.00£7.00","(61% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-triple-lace-up-corset-belt.html"
"Clear Square Rimless Stud Sunglasses","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/clear-square-rimless-stud-sunglasses.html"
"Baby Blue Chunky Rectangular Square Frame...","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/baby-blue-chunky-rectangular-square-frame-sunglasses.html"
"Recycled Gold Hammered Textured 6 Pack Ring Set","£6.00£3.50","(42% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-hammered-textured-6-pack-ring-set.html"
"Gold Chunky Chain Cross Pendant Necklace","£4.00£3.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-chunky-chain-cross-pendant-necklace.html"
"Recycled Gold Diamante Bangle & Chain MultiPack...","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-diamante-bangle-chain-multipack-bracelet.html"
"Taupe Matte Plastic Large Hair Clip","£4.00£3.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/taupe-matte-plastic-large-hair-clip.html"
"Black Oversized Gold Detail Aviator Sunglasses","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-oversized-gold-detail-aviator-sunglasses.html"
"Green Oversized Lens Rounded Cat Eye Sunglasses","£8.00£4.00","(50% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/green-oversized-lens-rounded-cat-eye-sunglasses.html"
"Black Marabou Feather Clutch Bag","£22.00£16.00","(27% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-marabou-feather-clutch-bag.html"
"Gold Chunky Retro Diamond Shape Hoop Earrings","£5.00£4.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-chunky-retro-diamond-shape-hoop-earrings.html"
"Black 70 Denier 2 Pack Tights","£10.00£7.00","(30% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-70-denier-2-pack-tights.html"
"Recycled Gold Oval Ribbed Textured Hoop Earrings","£6.00£3.50","(42% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-oval-ribbed-textured-hoop-earrings.html"
"Black Felt Beret","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-felt-beret.html"
"Denim Patchwork Bucket Hat","£18.00£12.00","(33% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/denim-patchwork-bucket-hat.html"
"PRETTYLITTLETHING Unicorn Pink iPhone 12 Pro...","£8.00£3.25","(59% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-unicorn-pink-iphone-12-pro-max-phone-case.html"
"Gold Large Textured Pendant Layered Necklace","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-large-textured-pendant-layered-necklace.html"
"Blue Zebra Link Strap Detail Shoulder Bag","£20.00£8.00","(60% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/blue-zebra-link-strap-detail-shoulder-bag.html"
"Leopard Faux Fur Reversible Bucket Hat","£18.00£13.00","(28% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/leopard-faux-fur-reversible-bucket-hat.html"
"Silver Chunky Chain T Bar And Heart Pendant...","£6.00£4.50","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-chunky-chain-t-bar-and-heart-pendant-layering-necklace.html"
"Silver Assorted Signet Ring Set","£8.00£3.25","(59% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-assorted-signet-ring-set.html"
"Recycled Gold Dainty Assorted 3 Pack Mini Hoop...","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-dainty-assorted-3-pack-mini-hoop-earrings.html"
"Nude Envelope Large Cross Body Bag","£18.00£16.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/nude-envelope-large-cross-body-bag.html"
"Recycled Gold Chunky Rope Chain Twist Necklace","£8.00£5.00","(38% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-chunky-rope-chain-twist-necklace.html"
"Black Quilted Gold Chain Diamante Butterfly...","£18.00£13.00","(28% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-quilted-gold-chain-diamante-butterfly-cross-body-bag.html"
"Black Faded Lens Rimless Square Sunglasses","£8.00£5.50","(31% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-faded-lens-rimless-square-sunglasses.html"
"Recycled Silver Chunky Diamante Chain Multi...","£15.00£11.00","(27% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-silver-chunky-diamante-chain-multi-necklace.html"
"Gold Double Twist Hoop Earrings","£8.00£4.50","(44% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-double-twist-hoop-earrings.html"
"Silver Large Textured Pendant Layered Necklace","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-large-textured-pendant-layered-necklace.html"
"Gold Bamboo Multi Sizes Three Pack Hoop Earrings","£8.00£3.75","(53% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-bamboo-multi-sizes-three-pack-hoop-earrings.html"
"PRETTYLITTLETHING Green PU Croc Mini Grab Bag","£22.00£17.00","(23% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-green-pu-croc-mini-grab-bag.html"
"Black Scarf Print Bandana","£4.00£3.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-scarf-print-bandana.html"
"Recycled Gold Assorted 3 Pack Rings","£5.00£3.25","(35% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-assorted-3-pack-rings.html"
"Gold Rounded Oval Hoop Earrings","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-rounded-oval-hoop-earrings.html"
"PRETTYLITTLETHING Unicorn Pink iPhone 11 Case","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-unicorn-pink-iphone-11-case.html"
"Recycled Gold Diamante Circle & Drop Pendant...","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-diamante-circle-drop-pendant-necklace.html"
"Cream Extreme Ruched Handle Shoulder Bag","£18.00£16.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/cream-extreme-ruched-handle-shoulder-bag.html"
"Silver Baguette Jewel Statement Earrings","£12.00£5.25","(56% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-baguette-jewel-statement-earrings.html"
"Black Matte Metal Frame Slim Visor Sunglasses","£10.00£9.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-matte-metal-frame-slim-visor-sunglasses.html"
"Black Slim Pointed Cat Eye Sunglasses","£8.00£6.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-slim-pointed-cat-eye-sunglasses.html"
"Green Nylon Phone Cross Body Bag","£15.00£5.25","(65% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/green-nylon-phone-cross-body-bag.html"
"Black Oversized Square Sunglasses","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-oversized-square-sunglasses.html"
"Recycled Gold Heart Key Layered Necklace","£6.00£3.25","(46% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-heart-key-layered-necklace.html"
"Gold Crystal Multi Chain Six Pack Stacking Rings","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-crystal-multi-chain-six-pack-stacking-rings.html"
"Recycled Gold Snake Earrings","£5.00£4.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-snake-earrings.html"
"Real Silver Plated Alternate Long Link Necklace","£15.00£7.00","(53% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/real-silver-plated-alternate-long-link-necklace.html"
"Silver Mirrored Lens Rectangular Sporty Visor...","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-mirrored-lens-rectangular-sporty-visor-sunglasses.html"
"Multi Heart Print Bucket Hat","£12.00£6.50","(46% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/multi-heart-print-bucket-hat.html"
"Recycled Gold Textured Circle Stud","£4.00£3.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-textured-circle-stud.html"
"White Eyelet Belt","£8.00£6.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-eyelet-belt.html"
"Clear Pearl Hair Claw","£3.00£2.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/clear-pearl-hair-claw.html"
"Blue Tranparent Visor Sunglasses","£10.00£8.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/blue-tranparent-visor-sunglasses.html"
"Choc Patent Croc Front Buckle Mini Bag","£22.00£10.75","(51% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/choc-patent-croc-front-buckle-mini-bag.html"
"Olive Woven Baseball Cap","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/olive-woven-baseball-cap.html"
"Gold Twist Hoop Statement Earrings","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-twist-hoop-statement-earrings.html"
"Gold Double Cut Out Medium Hoop Earrings","£8.00£6.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-double-cut-out-medium-hoop-earrings.html"
"Real Silver Plated Dainty Huggie 2 Pack Hoop...","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/real-silver-plated-dainty-huggie-2-pack-hoop-earrings.html"
"Blue Faux Suede Triangle Mini Bag","£20.00£17.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/blue-faux-suede-triangle-mini-bag.html"